Brokertitle,Type,Price,Beds,Bath,Propertysqft,City,Address,Borough,Latitude,Longitude,Zip_code
Brown Harris Stevens,Condop,1065000,2,2,2184,Manhattan,"215 E 96th St Unit 25CManhattan, NY 10128",MANHATTAN,40.7850141,-73.9481639,10128
Douglas Elliman,Townhouse,19995000,7,6,8200,New York,"14 E 81st StNew York, NY 10028",MANHATTAN,40.7777833,-73.962008,10028
Keller Williams NYC,Condo,744000,2,1,890,Queens,"32-86 33rd St Unit D7Queens, NY 11106",QUEENS,40.7592629,-73.9257407,11106
COMPASS,Pending,675000,3,0,2780,Manhattan,"41 Warren St Unit SubcManhattan, NY 10007",MANHATTAN,40.7143933,-74.0088774,10007
Douglas Elliman,Condo,4595000,4,4,3052,New York,"619 E 6th St Unit 1New York, NY 10009",MANHATTAN,40.7241883,-73.9804574,10009
5 Boro Realty Corp,Co-op,475000,1,1,2184,Brooklyn,"213 Eastern Pkwy Apt 2Brooklyn, NY 11238",BROOKLYN,40.671881,-73.961562,11238
Progress Realty Inc.,Co-op,189000,2,1,800,Bronx,"756 Brady Ave Apt 307Bronx, NY 10462",BRONX,40.8522362,-73.8655005,10462
First Class Realty Enterprises,House,998888,4,3,2184,Jamaica,"115-04 144th StJamaica, NY 11436",MANHATTAN,40.682563,-73.799077,11436
COMPASS,Pending,675000,3,0,2780,Manhattan,"41 Warren St Unit SubcManhattan, NY 10007",MANHATTAN,40.7143933,-74.0088774,10007
COMPASS,Pending,4500000,1,2,5400,Brooklyn,"129 Russell St Unit CommercialBrooklyn, NY 11222",MANHATTAN,40.7248276,-73.9446616,11222
Reserve,Co-op,32000000,4,6,7500,New York,"383 W BroadwayNew York, NY 10012",MANHATTAN,40.7237571,-74.0021582,10012
Exp Realty,Multi-family home,3250000,6,4,3059,Brooklyn,"68 Clifton PlBrooklyn, NY 11238",MANHATTAN,40.6877385,-73.9618932,11238
Berkshire Hathaway HomeServices Cangiano Estates,Multi-family home,769000,7,2,2100,Staten Island,"222 Gordon StStaten Island, NY 10304",MANHATTAN,40.6219621,-74.0832854,10304
Exp Realty,House,648998,3,2,1296,Bronx,"1361 Waring AveBronx, NY 10469",MANHATTAN,40.8611669,-73.8467192,10469
TOP NEST INC,House,1699900,7,5,2418,Brooklyn,"186 Covert StBrooklyn, NY 11207",MANHATTAN,40.6898884,-73.9085265,11207
Corcoran Brooklyn Heights,Pending,3250000,8,5,2184,Brooklyn,"1123 Albemarle RdBrooklyn, NY 11218",MANHATTAN,40.6467032,-73.9685896,11218
Douglas Elliman,Co-op,395250,1,1,650,Astoria,"31-85 Crescent St Unit 410Astoria, NY 11106",QUEENS,40.7642499,-73.92761,11106
Heisman Realty LLC,House,539000,3,2,972,Staten Island,"84 Nautilus StStaten Island, NY 10305",MANHATTAN,40.6104417,-74.0628522,10305
Daniel Gale of Brooklyn LLC,Townhouse,1348000,5,2,2184,Queens,"46-03 104 StQueens, NY 11368",MANHATTAN,40.7462947,-73.8595834,11368
Canaan Realty International,Condo,1450000,3,3,1855,Flushing,"40-26 College Point Blvd Unit 18FFlushing, NY 11354",QUEENS,40.7573108,-73.8341865,11354
EXP Realty,Co-op,465000,2,1,2184,Jackson Heights,"37-50 87th St Unit 6BJackson Heights, NY 11372",MANHATTAN,40.7483992,-73.8795703,11372
Keller Williams Legendary,Condo,6500000,2,2,1639,New York,"1600 Broadway Ph 4CNew York, NY 10019",MANHATTAN,40.7601885,-73.9843625,10019
KELLER WILLIAMS REALTY LANDMARK II,Co-op,297000,1,1,800,Forest Hills,"102-36 64 Ave Unit 4AForest Hills, NY 11375",QUEENS,40.7322799,-73.85181,11375
Miller & Miller Real Estate,Co-op,244900,1,1,518,Glen Oaks,"260-46 73rd Ave Unit A1Glen Oaks, NY 11004",QUEENS,40.7511183,-73.7160095,11004
E Realty International Corp,House,2480000,4,4,5150,Whitestone,"149-37 9th AveWhitestone, NY 11357",MANHATTAN,40.7932103,-73.8161976,11357
Coldwell Banker Kueber Realty,Co-op,230000,1,1,2184,Forest Hills,"108-50 62 Dr Unit 3KForest Hills, NY 11375",QUEENS,40.736005,-73.849174,11375
Corcoran Brooklyn Heights,Condo,780000,2,2,825,Brooklyn,"618 Avenue H # 5EBrooklyn, NY 11230",MANHATTAN,40.6288601,-73.9704912,11230
Corcoran Chelsea/Flatiron,Townhouse,4875000,3,3,2184,New York,"130 E 38th StNew York, NY 10016",MANHATTAN,40.748964,-73.978301,10016
COMPASS,Co-op,539999,3,2,2184,Jackson Heights,"33-04 93rd St Unit 6SJackson Heights, NY 11372",QUEENS,40.7563263,-73.8752379,11372
COMPASS,Co-op,750000,2,2,1193,Bronx,"2621 Palisade Ave Apt 16ABronx, NY 10463",BRONX,40.8825618,-73.9212739,10463
The Agency,Condo,2249000,2,3,2321,New York,"211 Madison Ave Unit 22ANew York, NY 10016",MANHATTAN,40.7486775,-73.9819284,10016
Tapestry Real Estate of Queens,Co-op,270000,2,1,700,Astoria,"21-78 35 St Unit 5FAstoria, NY 11101",QUEENS,40.7751901,-73.9090015,11101
